00011011 0011,00000000 0010,00001010 0000,00001010 0011,00000000 0001,00000000 0011
264,134,131,52,117,215
264,134,131,52,117,215
267,134,131,52,116,215
268,133,131,52,115,216
268,133,131,52,115,217
270,134,131,52,114,220
270,135,131,52,115,219
271,134,131,54,115,219
272,135,130,54,115,215
274,134,129,54,115,216
274,135,129,54,115,216
276,136,129,53,116,216
276,136,129,53,118,214
278,136,129,54,116,215
280,136,129,53,118,214
281,135,129,53,118,213
283,135,129,55,118,217
288,135,129,53,118,218
285,135,127,53,117,224
286,135,127,54,117,222
287,135,127,53,117,222
285,136,127,55,117,222
284,136,127,55,117,222
287,136,127,56,114,222
290,136,127,56,111,221
296,135,128,56,111,217
300,135,128,58,112,211
305,136,127,60,112,204
308,136,127,62,113,201
313,136,127,64,115,195
317,136,127,67,114,192
318,136,129,68,114,183
323,134,129,68,114,181
324,134,129,65,112,184
326,133,131,61,113,181
327,133,130,58,112,184
328,133,130,56,113,183
328,134,131,57,114,183
329,133,132,59,113,182
329,133,132,59,112,180
329,133,132,58,114,178
330,135,132,55,114,178
332,135,135,54,113,175
332,136,134,54,113,176
332,137,134,54,112,173
333,137,133,54,113,173
335,136,133,54,113,172
336,135,133,54,113,172
335,133,133,54,113,172
330,133,132,55,113,174
331,133,132,55,113,174
331,133,132,56,115,172
330,133,132,55,117,172
330,135,130,55,118,173
329,133,133,55,117,171
331,134,133,54,116,172
334,135,130,55,117,173
335,136,129,55,117,177
337,136,130,55,117,172
337,136,131,55,118,173
337,136,130,56,118,174
341,132,130,56,117,175
343,132,130,56,118,174
341,132,132,56,118,173
342,132,133,56,117,171
342,132,134,55,118,170
343,131,134,56,117,172
340,131,134,57,117,173
340,130,134,58,117,174
344,131,133,58,118,171
344,130,134,58,116,172
343,128,134,57,115,175
341,129,134,60,115,176
341,130,133,61,116,177
342,132,133,65,117,176
345,131,133,68,117,175
343,132,134,67,118,175
345,132,134,68,115,175
346,132,133,67,117,175
346,132,133,68,117,175
347,131,133,68,117,175
356,131,135,68,114,173
363,131,135,68,113,173
366,133,135,68,113,173
369,133,135,67,113,173
369,133,135,67,113,173
371,132,133,67,112,176
373,130,133,67,111,177
374,130,133,68,110,177
377,130,133,68,108,177
378,131,133,68,108,176
379,131,135,68,109,173
377,132,135,68,111,172
377,132,135,68,111,172
379,132,135,68,111,171
380,132,135,69,109,171
383,132,135,69,109,168
386,132,134,70,108,165
390,132,134,69,111,160
395,132,134,71,108,156
396,133,134,70,108,156
395,133,134,70,109,155
396,133,134,69,109,156
396,133,134,71,107,156
396,133,134,71,108,155
396,133,134,70,109,155
396,132,134,68,110,156
395,132,134,69,110,156
395,133,134,69,110,156
395,133,134,69,110,156
395,133,134,69,109,157
394,133,134,70,109,157
397,131,134,72,106,157
